sample,x,y,r,blink
1684,123,133,22,23
1685,122,133,22,23
1686,121,132,23,23
1687,122,132,23,23
1688,122,133,22,23
1689,121,134,23,23
1690,122,132,22,23
1691,121,133,22,23
1692,123,131,22,23
1693,123,133,21,23
1694,122,132,22,23
1695,121,134,24,23
1696,122,132,23,23
1697,121,132,21,23
1698,123,133,22,23
1699,123,132,22,23
1700,124,132,22,23
1701,122,133,21,23
1702,122,133,21,23
1703,124,133,21,23
1704,122,134,21,23
1705,124,133,23,23
1706,122,132,23,23
1707,122,133,23,23
1708,123,131,23,23
1709,122,134,22,23
1710,123,133,21,23
1711,121,135,23,23
1712,120,133,22,23
1713,120,134,24,23
1714,121,133,23,23
1715,122,133,23,23
1716,121,131,22,23
1717,122,134,22,23
1718,120,135,24,23
1719,122,132,22,23
1720,121,132,23,23
1721,117,134,23,23
1722,113,131,24,23
1723,121,134,23,23
1724,107,160,26,23
1725,86,168,19,23
1726,88,62,27,23
1727,88,62,27,23
1728,88,62,27,23
1729,88,62,27,24
1730,124,128,21,24
1731,117,125,25,24
1732,117,125,25,24
1733,123,61,26,24
1734,119,129,23,24
1735,120,134,24,24
1736,120,133,23,24
1737,117,134,25,24
1738,121,131,23,24
1739,122,132,23,24
1740,123,132,23,24
1741,123,132,23,24
1742,122,131,22,24
1743,123,135,25,24
1744,123,130,23,24
1745,123,130,23,24
1746,121,131,21,24
1747,123,132,22,24
1748,122,131,22,24
1749,121,132,21,24
1750,122,135,22,24
1751,121,134,22,24
1752,122,131,22,24
1753,122,134,21,24
1754,122,134,21,24
1755,122,135,23,24
1756,122,131,22,24
1757,124,135,22,24
1758,122,134,22,24
1759,121,135,24,24
1760,123,133,22,24
1761,123,132,22,24
1762,122,133,23,24
1763,123,133,22,24
1764,123,134,23,24
1765,121,134,22,24
1766,122,133,22,24
1767,121,135,21,24
1768,122,137,23,24
1769,122,133,21,24
1770,122,132,22,24
1771,124,134,23,24
1772,123,133,22,24
1773,124,136,22,24
1774,123,133,22,24
1775,123,133,22,24
1776,122,133,22,24
1777,124,134,23,24
1778,122,135,23,24
1779,122,135,23,24
1780,122,136,24,24
1781,123,134,22,24
1782,122,133,23,24
1783,122,134,22,24
1784,121,134,23,24
1785,122,135,23,24
1786,123,132,22,24
1787,122,133,23,24
1788,122,133,23,24
1789,121,135,24,24
1790,121,133,22,24
1791,119,136,21,24
1792,122,135,21,24
1793,124,135,23,24
1794,122,135,22,24
1795,123,136,24,24
1796,124,135,22,24
1797,122,136,23,24
1798,122,135,24,24
1799,122,134,22,24
1800,124,135,23,24
1801,125,134,22,24
1802,123,133,21,24
1803,122,133,22,24
1804,123,133,23,24
1805,122,132,22,24
1806,123,136,23,24
1807,122,135,23,24
1808,121,133,22,24
1809,120,134,22,24
1810,122,136,23,24
1811,122,136,23,24
1812,120,134,21,24
1813,123,135,22,24
1814,121,136,23,24
1815,124,137,23,24
1816,124,137,23,24
