sample,x,y,r
355,98,85,NA
356,97,83,NA
357,98,85,NA
358,97,83,NA
359,98,85,NA
360,97,83,NA
361,98,85,NA
362,97,83,NA
363,98,85,NA
364,97,83,NA
365,98,85,NA
366,97,83,NA
367,98,85,NA
368,97,83,NA
369,98,85,NA
370,97,83,NA
371,98,85,NA
372,97,83,NA
373,98,85,NA
374,97,83,NA
375,96,85,NA
376,0,0,NA
377,0,0,NA
378,0,0,NA
379,0,0,NA
380,0,0,NA
381,0,0,NA
382,0,0,NA
383,0,0,NA
384,0,0,NA
385,95,83,NA
386,98,85,NA
387,97,83,NA
388,98,85,NA
389,97,81,NA
390,98,81,NA
391,97,81,NA
392,98,81,NA
393,97,81,NA
394,98,81,NA
395,97,81,NA
396,98,81,NA
397,97,81,NA
398,98,81,NA
399,97,81,NA
400,98,81,NA
401,97,81,NA
402,98,81,NA
403,97,81,NA
404,98,81,NA
405,97,81,NA
406,98,81,NA
407,97,81,NA
408,98,81,NA
409,97,81,NA
410,98,81,NA
411,97,81,NA
412,98,81,NA
413,97,81,NA
414,98,81,NA
415,97,81,NA
416,98,81,NA
417,97,81,NA
418,98,81,NA
419,97,81,NA
420,98,81,NA
421,97,81,NA
422,98,81,NA
423,97,81,NA
424,98,81,NA
425,97,81,NA
426,98,81,NA
427,97,81,NA
428,98,81,NA
429,97,81,NA
430,98,81,NA
431,97,81,NA
432,98,81,NA
433,97,81,NA
434,98,81,NA
435,97,81,NA
436,98,81,NA
437,97,81,NA
438,98,81,NA
439,97,81,NA
440,98,81,NA
441,97,81,NA
442,98,81,NA
443,97,81,NA
444,98,81,NA
445,97,81,NA
446,98,81,NA
447,97,81,NA
448,98,81,NA
449,97,81,NA
450,98,81,NA
451,97,81,NA
452,98,81,NA
453,97,81,NA
454,98,81,NA
455,97,81,NA
456,98,81,NA
457,97,81,NA
458,100,81,NA
459,103,81,NA
460,104,81,NA
461,103,81,NA
462,104,81,NA
463,103,81,NA
464,104,81,NA
465,103,81,NA
466,104,81,NA
467,103,81,NA
468,100,81,NA
469,103,81,NA
470,104,81,NA
471,105,81,NA
472,106,81,NA
473,105,81,NA
474,106,81,NA
475,105,81,NA
476,106,81,NA
477,105,81,NA
478,106,81,NA
479,105,81,NA
480,106,81,NA
481,105,81,NA
482,106,81,NA
483,105,81,NA
484,106,81,NA
485,105,81,NA
486,106,81,NA
487,105,81,NA
488,106,81,NA
489,105,81,NA
490,106,81,NA
491,105,81,NA
492,106,81,NA
493,105,81,NA
494,106,81,NA
495,105,81,NA
496,106,81,NA
497,105,81,NA
498,106,81,NA
499,105,81,NA
500,106,81,NA
501,105,81,NA
502,106,81,NA
503,105,81,NA
504,106,81,NA
505,105,81,NA
506,106,81,NA
507,105,81,NA
508,106,81,NA
509,105,81,NA
510,106,81,NA
511,105,81,NA
512,106,81,NA
513,105,81,NA
514,106,81,NA
515,105,81,NA
516,106,81,NA
517,105,81,NA
518,106,81,NA
519,105,81,NA
520,106,81,NA
521,105,81,NA
522,106,81,NA
523,105,81,NA
524,106,81,NA
525,105,81,NA
526,106,81,NA
527,105,81,NA
528,106,81,NA
529,105,81,NA
530,106,81,NA
531,105,81,NA
532,106,81,NA
533,105,81,NA
534,106,81,NA
535,105,81,NA
536,106,81,NA
537,105,81,NA
538,106,81,NA
539,105,81,NA
540,106,81,NA
541,105,81,NA
542,106,81,NA
543,105,81,NA
544,106,81,NA
545,105,81,NA
546,106,81,NA
547,105,81,NA
548,106,81,NA
549,105,81,NA
550,106,81,NA
551,105,81,NA
552,106,81,NA
553,105,81,NA
554,106,81,NA
555,105,81,NA
556,106,81,NA
557,105,81,NA
558,106,81,NA
559,105,81,NA
560,106,81,NA
561,105,81,NA
562,106,81,NA
563,105,81,NA
564,106,81,NA
565,105,81,NA
566,106,81,NA
567,105,81,NA
568,106,81,NA
569,105,81,NA
570,106,81,NA
571,105,81,NA
572,106,81,NA
573,105,81,NA
574,106,81,NA
575,105,81,NA
576,106,81,NA
577,105,81,NA
578,106,81,NA
579,105,81,NA
580,106,81,NA
581,105,81,NA
582,106,81,NA
583,105,81,NA
584,106,81,NA
585,105,81,NA
586,102,81,NA
587,99,81,NA
588,100,81,NA
589,99,81,NA
590,100,81,NA
591,99,81,NA
592,100,81,NA
593,99,81,NA
594,104,81,NA
595,101,81,NA
596,100,81,NA
597,99,81,NA
598,100,81,NA
599,99,81,NA
600,100,81,NA
601,99,81,NA
602,100,81,NA
603,99,81,NA
604,100,81,NA
605,99,81,NA
606,100,81,NA
607,99,81,NA
608,100,81,NA
609,99,81,NA
610,100,81,NA
611,99,81,NA
612,100,81,NA
613,99,81,NA
614,100,81,NA
615,99,81,NA
616,100,81,NA
617,99,81,NA
618,100,81,NA
619,99,81,NA
620,100,81,NA
621,99,81,NA
622,100,81,NA
623,101,81,NA
624,102,81,NA
625,101,81,NA
626,102,81,NA
627,99,81,NA
628,100,81,NA
629,99,81,NA
630,100,81,NA
631,99,81,NA
632,100,81,NA
633,99,81,NA
634,100,81,NA
635,99,81,NA
636,100,81,NA
637,99,81,NA
638,100,81,NA
639,99,81,NA
640,100,81,NA
641,99,81,NA
642,100,81,NA
643,99,81,NA
644,100,81,NA
645,99,81,NA
646,100,81,NA
647,99,81,NA
648,100,81,NA
649,99,81,NA
650,98,83,NA
651,97,85,NA
652,98,83,NA
653,97,83,NA
654,98,83,NA
655,97,83,NA
656,98,83,NA
657,99,83,NA
658,100,83,NA
659,99,81,NA
660,100,81,NA
661,99,81,NA
662,100,81,NA
663,99,81,NA
664,100,81,NA
665,99,81,NA
666,100,81,NA
667,99,81,NA
668,100,81,NA
669,99,81,NA
670,100,81,NA
671,99,81,NA
672,100,81,NA
673,99,81,NA
674,100,81,NA
675,99,83,NA
676,100,83,NA
677,99,83,NA
678,100,83,NA
679,99,83,NA
680,100,83,NA
681,99,83,NA
682,100,83,NA
683,99,83,NA
684,100,83,NA
685,99,83,NA
686,100,83,NA
687,99,83,NA
688,100,83,NA
689,99,83,NA
690,100,83,NA
691,99,83,NA
692,100,83,NA
693,99,83,NA
694,100,83,NA
695,99,83,NA
